epoch,step,batch_loss,running_acc,timestamp
0,1,0.8357337713241577,0.28125,1786404812.043227
0,2,0.720399022102356,0.3125,1786404812.20251
0,3,0.7776748538017273,0.3229166666666667,1786404812.3622088
0,4,0.8198801875114441,0.30859375,1786404812.519564
0,5,0.7374723553657532,0.278125,1786404812.6778216
0,6,0.7443199157714844,0.2890625,1786404812.8336623
0,7,0.7227702140808105,0.27901785714285715,1786404812.9901242
0,8,0.8028402328491211,0.275390625,1786404813.148214
0,9,0.7565195560455322,0.2795138888888889,1786404813.3318603
0,10,0.7302086353302002,0.278125,1786404813.4894469
0,11,0.6454731225967407,0.2869318181818182,1786404813.6505935
0,12,0.7527683973312378,0.28515625,1786404813.8075454
0,13,0.6758453845977783,0.2800480769230769,1786404813.9666808
0,14,0.7634462118148804,0.2767857142857143,1786404814.124731
0,15,0.6962018609046936,0.27395833333333336,1786404814.2829924
0,16,0.6708405017852783,0.2724609375,1786404814.4408717
0,17,0.7877280712127686,0.27297794117647056,1786404814.5982535
0,18,0.7024676203727722,0.2664930555555556,1786404814.7734456
0,19,0.678281843662262,0.2598684210526316,1786404814.9295275
0,20,0.6572281122207642,0.2640625,1786404815.0896506
0,21,0.6708869934082031,0.26785714285714285,1786404815.2465065
0,22,0.6794536113739014,0.2734375,1786404815.402778
0,23,0.7059336304664612,0.2764945652173913,1786404815.5614438
0,24,0.6951557397842407,0.2766927083333333,1786404815.723542
0,25,0.5999565124511719,0.276875,1786404815.879887
0,26,0.6658149361610413,0.27584134615384615,1786404816.039417
0,27,0.6222230792045593,0.27488425925925924,1786404816.2016606
0,28,0.6296597719192505,0.27901785714285715,1786404816.3608088
0,29,0.6701326370239258,0.2790948275862069,1786404816.5181115
0,30,0.7000302076339722,0.278125,1786404816.689499
0,31,0.6856247186660767,0.2777217741935484,1786404816.8635106
0,32,0.6581407189369202,0.27734375,1786404817.0283117
0,33,0.6290172338485718,0.2774621212121212,1786404817.1871624
0,34,0.6395394802093506,0.27941176470588236,1786404817.3434777
0,35,0.7138941884040833,0.2767857142857143,1786404817.5030284
0,36,0.6740560531616211,0.2764756944444444,1786404817.6616247
0,37,0.6536883115768433,0.2778716216216216,1786404817.8279014
0,38,0.6183869242668152,0.27837171052631576,1786404817.9862392
0,39,0.7192498445510864,0.2776442307692308,1786404818.145807
0,40,0.6171135306358337,0.27890625,1786404818.302874
0,41,0.6350741982460022,0.28010670731707316,1786404818.4612732
0,42,0.6493237018585205,0.28087797619047616,1786404818.630339
0,43,0.7231763005256653,0.28234011627906974,1786404818.7903702
0,44,0.6276140809059143,0.28267045454545453,1786404818.9486704
0,45,0.6485687494277954,0.28368055555555555,1786404819.1090353
0,46,0.6330584287643433,0.2836277173913043,1786404819.2685254
0,47,0.754416823387146,0.2839095744680851,1786404819.4288201
0,48,0.6388294696807861,0.2828776041666667,1786404819.587188
0,49,0.6003033518791199,0.28348214285714285,1786404819.7446277
0,50,0.7413093447685242,0.28375,1786404819.9156091
0,51,0.6213972568511963,0.28431372549019607,1786404820.0751376
0,52,0.6267874240875244,0.28455528846153844,1786404820.2390568
0,53,0.6226722002029419,0.2847877358490566,1786404820.4010634
0,54,0.6080377101898193,0.28530092592592593,1786404820.5720649
0,55,0.6811375021934509,0.2840909090909091,1786404820.7308795
0,56,0.7068456411361694,0.28487723214285715,1786404820.8928754
0,57,0.6173957586288452,0.28536184210526316,1786404821.051837
0,58,0.6572017669677734,0.28529094827586204,1786404821.2081861
0,59,0.7076563835144043,0.2841631355932203,1786404821.3665588
0,60,0.6161454319953918,0.28489583333333335,1786404821.5243995
0,61,0.6098277568817139,0.28662909836065575,1786404821.6833143
0,62,0.5964420437812805,0.2862903225806452,1786404821.840876
0,63,0.641271710395813,0.2847222222222222,1786404822.0029376
0,64,0.6133259534835815,0.285888671875,1786404822.159196
0,65,0.6922239661216736,0.2865384615384615,1786404822.3322704
0,66,0.6348385810852051,0.2869318181818182,1786404822.4877548
0,67,0.647844135761261,0.28661380597014924,1786404822.6475153
0,68,0.5345276594161987,0.28699448529411764,1786404822.8092465
0,69,0.6184483766555786,0.2857789855072464,1786404822.970636
0,70,0.7210312485694885,0.28415178571428573,1786404823.1301572
0,71,0.6155475974082947,0.28565140845070425,1786404823.28886
0,72,0.6582732796669006,0.2864583333333333,1786404823.444502
0,73,0.6063814759254456,0.2857448630136986,1786404823.6027477
0,74,0.6390482783317566,0.28652871621621623,1786404823.762272
0,75,0.6189801692962646,0.285,1786404823.9351006
0,76,0.6485931277275085,0.2837171052631579,1786404824.0939844
0,77,0.6331772804260254,0.2846996753246753,1786404824.2526197
0,78,0.6804134845733643,0.2854567307692308,1786404824.4191408
0,79,0.7356052398681641,0.28560126582278483,1786404824.5782235
0,80,0.7289934158325195,0.2859375,1786404824.7550137
0,81,0.6681833267211914,0.2862654320987654,1786404824.9176915
0,82,0.7128355503082275,0.2862042682926829,1786404825.0758228
0,83,0.6625384092330933,0.286144578313253,1786404825.2339272
0,84,0.6546448469161987,0.28720238095238093,1786404825.3899715
0,85,0.6846063733100891,0.2869485294117647,1786404825.5501986
0,86,0.7261530160903931,0.2870639534883721,1786404825.718146
0,87,0.6040146946907043,0.28663793103448276,1786404825.876922
0,88,0.622615396976471,0.28657670454545453,1786404826.0511956
0,89,0.6585730910301208,0.2870435393258427,1786404826.2117307
0,90,0.6719966530799866,0.28680555555555554,1786404826.3851955
0,91,0.6966783404350281,0.2865728021978022,1786404826.542179
0,92,0.6040926575660706,0.28566576086956524,1786404826.7160165
0,93,0.6550399661064148,0.2857862903225806,1786404826.8868082
0,94,0.7663595080375671,0.2855718085106383,1786404827.045063
0,95,0.5922200679779053,0.2850328947368421,1786404827.216376
0,96,0.5955977439880371,0.28515625,1786404827.3756504
0,97,0.7301207780838013,0.28398840206185566,1786404827.531958
0,98,0.7173281908035278,0.28380102040816324,1786404827.6919906
0,99,0.7271329164505005,0.2840909090909091,1786404827.8494074
0,100,0.6114208698272705,0.28515625,1786404828.0072737
0,101,0.6450879573822021,0.2841893564356436,1786404828.1659765
0,102,0.6265032291412354,0.2844669117647059,1786404828.3240294
0,103,0.7060249447822571,0.28398058252427183,1786404828.494054
0,104,0.5819631814956665,0.2839543269230769,1786404828.653719
0,105,0.5701472163200378,0.28526785714285713,1786404828.8122783
0,106,0.662718653678894,0.28537735849056606,1786404828.9700255
0,107,0.7202951908111572,0.2846086448598131,1786404829.1303234
0,108,0.6404320001602173,0.2842881944444444,1786404829.29042
0,109,0.5440452098846436,0.28411697247706424,1786404829.4674351
0,110,0.6609675884246826,0.28480113636363635,1786404829.62453
0,111,0.5997772216796875,0.2853322072072072,1786404829.7823255
0,112,0.6779069900512695,0.28543526785714285,1786404829.941199
0,113,0.922485888004303,0.2853982300884956,1786404830.097767
0,114,0.6658370494842529,0.2856359649122807,1786404830.2758586
0,115,0.6514010429382324,0.2854619565217391,1786404830.4347417
0,116,0.5636478662490845,0.2862338362068966,1786404830.5923
0,117,0.6406823396682739,0.28699252136752135,1786404830.7517526
0,118,0.61695796251297,0.2877383474576271,1786404830.9097795
0,119,0.6247624158859253,0.28807773109243695,1786404831.0681043
0,120,0.6102218627929688,0.28854166666666664,1786404831.227882
0,121,0.6866421699523926,0.2892561983471074,1786404831.4052424
0,122,0.541327178478241,0.289702868852459,1786404831.5627387
0,123,0.7048882842063904,0.29026930894308944,1786404831.7208877
0,124,0.5911116600036621,0.29057459677419356,1786404831.8943508
0,125,0.699295163154602,0.29025,1786404832.053401
0,126,0.6160571575164795,0.2904265873015873,1786404832.21289
0,127,0.6119247078895569,0.2907234251968504,1786404832.3718038
0,128,0.6776443719863892,0.290771484375,1786404832.5407982
0,129,0.6563549041748047,0.2911821705426357,1786404832.7000966
0,130,0.6280220746994019,0.2915865384615385,1786404832.8693569
0,131,0.6090087890625,0.2909112595419847,1786404833.0296502
0,132,0.6134365797042847,0.2908380681818182,1786404833.1880674
0,133,0.6797799468040466,0.2908834586466165,1786404833.3460622
0,134,0.6099544167518616,0.2916277985074627,1786404833.503568
0,135,0.7226331233978271,0.29108796296296297,1786404833.6637626
0,136,0.5971503257751465,0.29021139705882354,1786404833.8231869
0,137,0.5534337162971497,0.28946167883211676,1786404833.9833493
0,138,0.6515093445777893,0.2896286231884058,1786404834.1402547
0,139,0.645447313785553,0.28990557553956836,1786404834.3020475
0,140,0.6917676329612732,0.28995535714285714,1786404834.462691
0,141,0.6476870179176331,0.29055851063829785,1786404834.6231434
0,142,0.5414419174194336,0.2911531690140845,1786404834.793593
0,143,0.7316157817840576,0.29086538461538464,1786404834.967434
0,144,0.5340718626976013,0.2913411458333333,1786404835.124427
0,145,0.6320908069610596,0.29116379310344825,1786404835.2839916
0,146,0.6143613457679749,0.2909888698630137,1786404835.4443944
0,147,0.5915017127990723,0.29209183673469385,1786404835.6020834
0,148,0.7173131704330444,0.29212415540540543,1786404835.7607725
0,149,0.5639809966087341,0.291631711409396,1786404835.9343119
0,150,0.5896037817001343,0.2916666666666667,1786404836.0929525
0,151,0.6624311208724976,0.29149420529801323,1786404836.2494876
0,152,0.720859169960022,0.29214638157894735,1786404836.4193811
0,153,0.6632226705551147,0.2920751633986928,1786404836.5774066
0,154,0.5004028677940369,0.2930194805194805,1786404836.7349384
0,155,0.7489591836929321,0.29254032258064516,1786404836.8953896
0,156,0.7734372019767761,0.2922676282051282,1786404837.0555418
0,157,0.6294987797737122,0.29249601910828027,1786404837.2173073
0,158,0.729733943939209,0.2926226265822785,1786404837.3772542
0,159,0.6442016363143921,0.29245283018867924,1786404837.5517378
0,160,0.6329606771469116,0.29306640625,1786404837.7266824
0,161,0.5911071300506592,0.29299301242236025,1786404837.8853145
0,162,0.647102952003479,0.29301697530864196,1786404838.0424943
0,163,0.5997965335845947,0.29399923312883436,1786404838.2022746
0,164,0.5503416657447815,0.2943978658536585,1786404838.3613453
0,165,0.5493765473365784,0.2950757575757576,1786404838.5180597
0,166,0.6891746520996094,0.2958396084337349,1786404838.6798205
0,167,0.5796562433242798,0.2964071856287425,1786404838.8401618
0,168,0.55622798204422,0.2966889880952381,1786404839.0057652
0,169,0.7172846794128418,0.29659763313609466,1786404839.1658797
0,170,0.6041728258132935,0.29724264705882353,1786404839.3337784
0,171,0.6234803199768066,0.29733187134502925,1786404839.4918537
0,172,0.663818359375,0.2973292151162791,1786404839.6504028
0,173,0.5403061509132385,0.29759754335260113,1786404839.8094096
0,174,0.6682909727096558,0.2978627873563218,1786404839.9675665
0,175,0.4741286337375641,0.2980357142857143,1786404840.126886
0,176,0.5603038668632507,0.2976740056818182,1786404840.2864406
0,177,0.6852818727493286,0.2976694915254237,1786404840.4448712
0,178,0.6037604212760925,0.29810393258426965,1786404840.6064987
0,179,0.6774322986602783,0.29800977653631283,1786404840.7675276
0,180,0.62408846616745,0.29878472222222224,1786404840.9265902
0,181,0.5997344255447388,0.2994647790055249,1786404841.0890214
0,182,0.5375978350639343,0.29945054945054944,1786404841.2464082
0,183,0.6383790969848633,0.2996072404371585,1786404841.405782
0,184,0.7836113572120667,0.2990828804347826,1786404841.5652626
0,185,0.6147063970565796,0.29907094594594597,1786404841.7261581
0,186,0.7886772155761719,0.2991431451612903,1786404841.8865519
0,187,0.6040259599685669,0.29913101604278075,1786404842.0443003
0,188,0.6262146234512329,0.2990359042553192,1786404842.2033057
0,189,0.668054461479187,0.2986111111111111,1786404842.363162
0,190,0.6246083974838257,0.29827302631578945,1786404842.5268712
0,191,0.6031480431556702,0.29785667539267013,1786404842.6942437
0,192,0.6193639636039734,0.2979329427083333,1786404842.863075
0,193,0.6706891059875488,0.2975226683937824,1786404843.0387938
0,194,0.5721691846847534,0.29776095360824745,1786404843.1966412
0,195,0.5365321040153503,0.29783653846153846,1786404843.3552036
0,196,0.663733959197998,0.2973533163265306,1786404843.5115333
0,197,0.6257761120796204,0.29774746192893403,1786404843.6723833
