phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6474787460911289,0.5732049739269955,0.5894308026311846,0.7352045992560027,0.06709465683042726,0.001
phase1_frozen,1,1,0.60204835062136,0.6564881668672282,0.601909382644843,0.7339646037650772,0.10447899391303761,0.0008536998372026805
phase1_frozen,2,2,0.5888392648039885,0.6634827517047733,0.6088908018999741,0.7350918723931913,0.08582963745547223,0.0005004999999999994
phase1_frozen,3,3,0.5782897764308071,0.6685469314079422,0.5956085187017333,0.7353173261188141,0.09077882362912282,0.00014730016279731974
phase1_frozen,4,4,0.5675154826844786,0.6709411351784998,0.5902209608063812,0.7353173261188141,0.10874057797893344,1e-06
phase1_frozen,0,0,0.6474684684500367,0.5730420176494184,0.5894933138540318,0.7350918723931913,0.06700767143878039,0.001
phase1_frozen,1,1,0.6020406259382962,0.6566636582430806,0.6016545375739153,0.7339646037650772,0.10686843557070358,0.0008536998372026805
phase1_frozen,2,2,0.5888371746606058,0.6633448656237465,0.6087941777718241,0.7352045992560027,0.0857658677047245,0.0005004999999999994
phase1_frozen,3,3,0.5782730363479733,0.6684466506217409,0.5952585356276625,0.7352045992560027,0.09113538817735978,0.00014730016279731974
phase1_frozen,4,4,0.5675231938471146,0.6708659245888487,0.5900475596470489,0.7352045992560027,0.10891424844539499,1e-06
phase2_full_training,0,5,0.5442142061490434,0.4641210663459611,0.5190071484951462,0.7550445271108105,0.5210965658092923,6.710000000000042e-05
phase2_full_training,1,6,0.4812857009385339,0.4432877330126278,0.5060794704420808,0.7730808251606358,0.6229582571272123,0.000122
phase2_full_training,2,7,0.448950523919394,0.47022198837442375,0.5070890572613705,0.7854807800698906,0.650073813271162,0.00012172605131567176
phase2_full_training,3,8,0.4254885554510789,0.4811334936861094,0.49626843702321444,0.7616954120166836,0.7115045787666672,0.00012090668618439371
phase2_full_training,4,9,0.39187755331316415,0.501528362397274,0.47890090164317445,0.7834516965392853,0.7113382577193641,0.00011954932490367669
phase2_full_training,5,10,0.36717134275066515,0.5151708759270395,0.48272491501197645,0.793597114192312,0.6736418299278069,0.00011766625994747238
phase2_full_training,6,11,0.33965454058373323,0.5331479254359591,0.5227903001788987,0.7955134708601059,0.672057316012536,0.00011527454464362269
phase2_full_training,7,12,0.32708267450010065,0.5401633593906594,0.49495679097760964,0.7805207981061887,0.7255579407918402,0.00011239583873628615
phase2_full_training,8,13,0.3019700128847192,0.558140408899579,0.47676642847335293,0.7638372224101003,0.7209699417531193,0.00010905621223193842
phase2_full_training,9,14,0.28710288451833316,0.5706554419723392,0.48542285167086474,0.7727426445722015,0.7151201033043111,0.00010528590930535674
phase2_full_training,10,15,0.2746407669877619,0.5803141912206855,0.5215728596170327,0.7986698230188254,0.6794641965171477,0.00010111907440368942
phase2_full_training,11,16,0.26035132329917715,0.5799634195229505,0.5118454331516373,0.7984443692932026,0.6851941907441539,9.65934430290571e-05
phase2_full_training,12,17,0.25326436051961104,0.5921276808979755,0.523782261267763,0.791117123210461,0.7192914790520675,9.174999999999968e-05
phase2_full_training,13,18,0.2330296376089482,0.604078973742233,0.4886978251792145,0.7982189155675797,0.6975109647024924,8.663260828661377e-05
phase2_full_training,14,19,0.22547899649416334,0.613599919823612,0.4845567195045412,0.7973171006650885,0.6951365082783414,8.128761178070424e-05
phase2_full_training,15,20,0.20649072254592943,0.6296101423130888,0.586058441855676,0.8018261751775448,0.6986559220478106,7.576341559832047e-05
phase2_full_training,16,21,0.20080732208773522,0.6386800962116657,0.5247724016332771,0.7907789426220269,0.7072808151086096,7.011004771553361e-05
phase2_full_training,17,22,0.1921310518418567,0.6497920424934857,0.5684996400082639,0.7944989290948032,0.6968155970378461,6.437870590733634e-05
phase2_full_training,18,23,0.18236301281118134,0.6604404690318701,0.5920625380821473,0.7907789426220269,0.6980912959884102,5.862129409266454e-05
phase3_aptos,0,24,0.613619694015482,0.5319368131868132,0.6074308361604364,0.7547683923705722,0.8573334393525758,0.0001
phase3_aptos,1,25,0.49610555237466164,0.5583791208791209,0.4951547703398671,0.7874659400544959,0.8614346411007614,0.0001
phase3_aptos,2,26,0.436406142436541,0.5583791208791209,0.4335729469233053,0.8038147138964578,0.8674611773203322,0.0001
phase3_aptos,3,27,0.3944027230634794,0.5927197802197802,0.4396389925837192,0.782016348773842,0.8493799981496023,0.0001
phase3_aptos,4,28,0.3818826244755106,0.5927197802197802,0.4386979067033253,0.7874659400544959,0.8680479671759008,0.0001
phase3_aptos,5,29,0.3713801088896427,0.6617445054945055,0.4267873928072667,0.7983651226158038,0.8683235287743538,0.0001
phase3_aptos,6,30,0.35884268352618587,0.6294642857142857,0.45456670131280574,0.7901907356948229,0.8678022816571638,0.0001
phase3_aptos,7,31,0.3267921536833375,0.6171016483516484,0.4458323208772519,0.782016348773842,0.8536910271868072,0.0001
phase3_aptos,8,32,0.3377065373646034,0.6449175824175825,0.4388115230633063,0.8147138964577657,0.8828671874062609,0.0001
phase3_aptos,9,33,0.3054466046147294,0.6741071428571429,0.4409650152483168,0.8038147138964578,0.8581099317941423,0.0001
phase3_aptos,10,34,0.32727560974084413,0.6390796703296703,0.4368749824466757,0.8092643051771117,0.8769494577920834,5e-05
