phase,phase_epoch,global_epoch_idx,train_loss,train_acc,val_loss,val_acc,val_qwk,lr
phase1_frozen,0,0,0.6328988351746102,0.30726156069364163,0.5813178603354139,0.3768762677484787,0.49679758901204185,0.001
phase1_frozen,1,1,0.5919918056168308,0.3171965317919075,0.5913500183977897,0.3983772819472617,0.5463573909119992,0.0008536998372026802
phase1_frozen,2,2,0.5822535843690696,0.33309248554913296,0.5761094998878108,0.3931034482758621,0.5456907034993466,0.0005005
phase1_frozen,3,3,0.571960366788627,0.336253612716763,0.5935837610981769,0.3890466531440162,0.5141499755871053,0.0001473001627973194
phase1_frozen,4,4,0.5688014882320613,0.3393695809248555,0.6047270802890553,0.39107505070993914,0.5180726398329847,1e-06
phase2_full_training,0,5,0.5520596012451604,0.3299062049062049,0.5418243932675638,0.42150101419878294,0.6344152449798651,2.7499999999999906e-05
phase2_full_training,1,6,0.522906602805139,0.3693632756132756,0.5073960218419893,0.44746450304259633,0.6972935100325461,5e-05
phase2_full_training,2,7,0.49779614556747426,0.3873106060606061,0.532802777841657,0.4032454361054767,0.5965317939253063,4.962778994879917e-05
phase2_full_training,3,8,0.48303568743782127,0.40751262626262624,0.49366847429024036,0.41947261663286006,0.6303924405291869,4.8522469209254804e-05
phase2_full_training,4,9,0.46884351448407247,0.4181998556998557,0.4714336506251631,0.44949290060851926,0.676564116021673,4.671762239271873e-05
phase2_full_training,5,10,0.46456382744025015,0.4240620490620491,0.4587406161832519,0.47058823529411764,0.6976402475216241,4.426808885641493e-05
phase2_full_training,6,11,0.4527803693842922,0.42726370851370854,0.4548381328824567,0.4689655172413793,0.7063935995279769,4.124829643732011e-05
phase2_full_training,7,12,0.4508520756212492,0.43993506493506496,0.49101440161768856,0.42231237322515214,0.6238082124303024,3.774999999999996e-05
phase2_full_training,8,13,0.4418926202889645,0.4382665945165945,0.483499421236723,0.41663286004056793,0.6194692269523271,3.3879493511478806e-05
phase2_full_training,9,14,0.4290896198708258,0.450487012987013,0.47250748444764173,0.45273833671399594,0.6807466197153759,2.97543803528392e-05
phase2_full_training,10,15,0.4324096433313034,0.44620310245310246,0.4651047194947094,0.44746450304259633,0.6748764673425156,2.5499999999999414e-05
phase2_full_training,11,16,0.4300825171075858,0.44728535353535354,0.455168180388321,0.47545638945233265,0.6997235771469461,2.124561964715975e-05
